Participante,Tipo,Publicacion,Producto,Orden,Manual_mmss,Postly_mmss,Observaciones
C1,Consultora real,1,,,8:03,2:02,
C1,Consultora real,2,,,7:45,1:53,
C1,Consultora real,3,,,8:21,2:42,
C2,Consultora real,1,,,11:54,2:12,
C2,Consultora real,2,,,10:41,2:33,
C2,Consultora real,3,,,12:02,1:44,
C3,Consultora real,1,,,8:08,3:32,
C3,Consultora real,2,,,11:02,3:11,
C3,Consultora real,3,,,10:02,3:49,
C1,Consultora real,4,,,9:02,1:51,ronda 2
C2,Consultora real,4,,,7:46,1:48,ronda 2
C3,Consultora real,4,,,8:33,2:04,ronda 2
